RIDE_ID,driver_id,created_date_local,driver_rating,distance_travelled,total_fare,hour_of_day,day_of_week,hour_block,year,month
1174043,1570,2017-03-12 11:35:52-05:00,5.0,2827.0,12.62,11,Sunday,8-11,2017,3
1174089,1636,2017-03-12 11:32:44-05:00,5.0,10222.0,19.51,11,Sunday,8-11,2017,3
1174100,153,2017-03-12 11:42:10-05:00,5.0,3165.0,10.17,11,Sunday,8-11,2017,3
1174109,846,2017-03-12 11:41:28-05:00,5.0,4078.0,14.32,11,Sunday,8-11,2017,3
1174112,458,2017-03-12 11:37:17-05:00,5.0,16747.0,20.18,11,Sunday,8-11,2017,3
1174145,1991,2017-03-12 11:31:27-05:00,5.0,11216.0,22.87,11,Sunday,8-11,2017,3
1174162,2364,2017-03-12 11:47:38-05:00,,8044.0,12.81,11,Sunday,8-11,2017,3
1174178,2312,2017-03-12 11:49:38-05:00,5.0,3760.0,13.74,11,Sunday,8-11,2017,3
1174210,4137,2017-03-12 11:53:02-05:00,5.0,2975.0,7.55,11,Sunday,8-11,2017,3
1174228,3283,2017-03-12 11:50:13-05:00,5.0,4785.0,8.82,11,Sunday,8-11,2017,3
1174255,153,2017-03-12 11:53:45-05:00,5.0,2912.0,9.76,11,Sunday,8-11,2017,3
1174285,846,2017-03-12 11:58:01-05:00,5.0,2605.0,7.24,11,Sunday,8-11,2017,3
1174301,2456,2017-03-12 11:55:38-05:00,5.0,11422.0,14.27,11,Sunday,8-11,2017,3
1174336,2312,2017-03-12 12:02:03-05:00,5.0,1460.0,7.07,12,Sunday,12-15,2017,3
1174347,2170,2017-03-12 11:56:20-05:00,5.0,7244.0,11.55,11,Sunday,8-11,2017,3
1174352,2372,2017-03-12 11:57:09-05:00,5.0,6730.0,10.84,11,Sunday,8-11,2017,3
1174369,2229,2017-03-12 12:00:36-05:00,5.0,4940.0,9.87,12,Sunday,12-15,2017,3
1174413,4137,2017-03-12 12:04:38-05:00,5.0,5422.0,10.03,12,Sunday,12-15,2017,3
1174414,3283,2017-03-12 12:05:51-05:00,5.0,5090.0,8.42,12,Sunday,12-15,2017,3
1174438,1078,2017-03-12 12:01:27-05:00,5.0,1569.0,6.06,12,Sunday,12-15,2017,3
1174455,458,2017-03-12 12:12:59-05:00,5.0,2029.0,6.24,12,Sunday,12-15,2017,3
1174474,1636,2017-03-12 12:05:35-05:00,5.0,8665.0,12.36,12,Sunday,12-15,2017,3
1174507,2312,2017-03-12 12:11:25-05:00,5.0,3382.0,10.19,12,Sunday,12-15,2017,3
1174578,3283,2017-03-12 12:19:48-05:00,5.0,2496.0,11.05,12,Sunday,12-15,2017,3
1174586,846,2017-03-12 12:18:25-05:00,5.0,1847.0,11.74,12,Sunday,12-15,2017,3
1174596,1570,2017-03-12 12:13:34-05:00,4.0,2774.0,10.47,12,Sunday,12-15,2017,3
1174620,2229,2017-03-12 12:21:32-05:00,5.0,2967.0,10.71,12,Sunday,12-15,2017,3
1174637,458,2017-03-12 12:18:19-05:00,,3228.0,8.16,12,Sunday,12-15,2017,3
1174649,2456,2017-03-12 12:15:56-05:00,5.0,4978.0,9.62,12,Sunday,12-15,2017,3
1174688,654,2017-03-12 12:25:12-05:00,5.0,19956.0,41.23,12,Sunday,12-15,2017,3
1174698,2372,2017-03-12 12:24:51-05:00,5.0,895.0,10.1,12,Sunday,12-15,2017,3
1174705,153,2017-03-12 12:19:58-05:00,5.0,8716.0,13.22,12,Sunday,12-15,2017,3
1174733,2312,2017-03-12 12:30:32-05:00,5.0,2870.0,14.67,12,Sunday,12-15,2017,3
1174736,2170,2017-03-12 12:27:36-05:00,5.0,18365.0,20.45,12,Sunday,12-15,2017,3
1174747,846,2017-03-12 12:30:57-05:00,5.0,2726.0,8.07,12,Sunday,12-15,2017,3
1174771,4137,2017-03-12 12:30:58-05:00,5.0,3889.0,11.72,12,Sunday,12-15,2017,3
1174817,1636,2017-03-12 12:29:52-05:00,5.0,5153.0,11.64,12,Sunday,12-15,2017,3
1174845,2456,2017-03-12 12:37:57-05:00,5.0,9560.0,12.98,12,Sunday,12-15,2017,3
1174863,1570,2017-03-12 12:37:07-05:00,5.0,1155.0,6.06,12,Sunday,12-15,2017,3
1174881,942,2017-03-12 12:37:55-05:00,5.0,17298.0,19.21,12,Sunday,12-15,2017,3
1174887,2229,2017-03-12 12:36:47-05:00,4.0,3832.0,7.85,12,Sunday,12-15,2017,3
1174898,3283,2017-03-12 12:38:16-05:00,5.0,3772.0,8.68,12,Sunday,12-15,2017,3
1174922,416,2017-03-12 12:32:19-05:00,5.0,25654.0,25.29,12,Sunday,12-15,2017,3
1174931,2312,2017-03-12 12:43:45-05:00,5.0,8333.0,17.92,12,Sunday,12-15,2017,3
1174936,846,2017-03-12 12:44:46-05:00,5.0,5868.0,12.1,12,Sunday,12-15,2017,3
